# DNS MX Record Signatures
# Format: pattern,score_type,points,comment
# Most specific patterns first

# Premium enterprise email (high budget)
dominioabsoluto.net,budget,0,Dominio Absoluto
webempresa.eu,budget,0,WebEmpresa
dondominio.com,budget,0,DonDominio Spain
webhosting.systems,budget,0,Generic webhosting
truehostcloud.com,budget,0,TrueHost Cloud
supremebox.com,budget,0,Supremebox
serveriai.lt,budget,0,Serveriai Lithuania
doruk.net.tr,budget,0,Doruk Turkey
natrohost.com,budget,0,NatroHost
ogicom.pl,budget,0,OgiCom Poland
zenbox.pl,budget,0,Zenbox Poland
webd.pl,budget,0,Webd Poland
tld.pl,budget,0,TLD Poland
axspace.com,budget,0,AxSpace
ds.network,budget,0,DS Network
vali.email,budget,0,Vali Email
arandomserver.com,budget,0,Random Server
mysecurecloudhost.com,budget,0,Secure Cloud Host
stackmail.com,budget,0,StackMail
webapps.net,budget,0,WebApps
webspacecontrol.com,budget,0,WebSpace Control
mailcluster.com.au,budget,0,Mail Cluster Australia
email-hosting.net.au,budget,0,Email Hosting Australia
hostedmail.net.au,budget,0,Hosted Mail Australia
server-he.de,budget,0,Server HE Germany
serverdata.net,budget,0,ServerData
antispamcloud.com,budget,0,AntiSpam Cloud
spamexperts.axc.nl,budget,0,SpamExperts
spambusters.email,budget,0,SpamBusters
jabatus.fr,budget,0,Jabatus France
domeneshop.no,budget,0,DomeneShop Norway
perfora.net,budget,0,Perfora
syrahost.com,budget,0,SyraHost

# Budget/free email (negative signal)
gmail.com,budget,-2,Free Gmail (not professional)
yahoo.com,budget,-3,Yahoo Mail (very unprofessional)
hotmail.com,budget,-3,Hotmail (outdated)
aol.com,budget,-4,AOL (very outdated)
mail.com,budget,-2,Free mail.com
gmx.com,budget,-2,Free GMX
yandex.ru,budget,-2,Yandex Mail
protonmail.com,budget,1,ProtonMail (privacy focus)
protonmail.ch,budget,1,ProtonMail Switzerland
tutanota.com,budget,1,Tutanota (privacy focus)
icloud.com,budget,0,Apple iCloud (consumer)

# Transactional email (technical signal)
mailchannels.net,budget,1,MailChannels (transactional)
mailersend.net,budget,1,MailerSend
elasticemail.com,budget,1,Elastic Email
sendgrid.com,budget,1,SendGrid
mandrillapp.com,budget,1,Mandrill (Mailchimp)
mailjet.com,budget,1,Mailjet
sparkpostmail.com,budget,1,SparkPost
amazonses.com,budget,1,AWS SES
mailgun.com,budget,1,Mailgun transactional
sendersrv.com,budget,1,SenderSrv
relay.k.io,budget,1,Relay K.io
mailbaby.net,budget,1,MailBaby
edgepilot.com,budget,1,EdgePilot
zcsend.net,budget,1,ZCSend
zcsend.in,budget,1,ZCSend India
mlsend.com,budget,1,MailerLite Send
createsend.com,budget,1,Campaign Monitor
constantcontact.com,budget,1,Constant Contact
getresponse.com,budget,1,GetResponse
unisender.com,budget,1,UniSender
ipzmarketing.com,budget,1,IPZ Marketing
leadconnectorhq.com,budget,1,LeadConnector

# Email security vendors (high security + budget)
mxlogin.com,budget,2,MXLogin security
authsmtp.com,budget,1,AuthSMTP
emsd1.com,budget,1,Email security
oxcs.net,budget,1,Open-Xchange
dcsaas.net,budget,1,DC SaaS

# Marketing platforms (budget signal)
pardot.com,budget,3,Salesforce Pardot
aspmx.pardot.com,budget,3,Pardot MX
freshdesk.com,budget,2,Freshdesk
email.freshdesk.com,budget,2,Freshdesk Email
zendesk.com,budget,3,Zendesk
mail.zendesk.com,budget,3,Zendesk Mail

# Self-hosted/custom (technical sophistication)
mail.,web,2,Self-hosted mail server
smtp.,web,2,Custom SMTP server
mx.,web,1,Custom MX setup
mx1.,web,1,Multiple MX servers
mx2.,web,1,MX redundancy

# Email scoring (deliverability/reliability)
google.com,email,4,Google Workspace (reliable)
googlemail.com,email,4,Google reliable
aspmx.l.google.com,email,4,Google MX
outlook.com,email,4,Microsoft reliable
protection.outlook.com,email,4,M365 reliable
mimecast.com,email,5,Mimecast (excellent deliverability)
pphosted.com,email,4,Proofpoint (excellent)
ppe-hosted.com,email,4,Proofpoint (excellent)
zoho.com,email,3,Zoho (good)
zohomail.com,email,3,Zoho (good)
sendgrid.net,email,2,SendGrid (transactional)
mailgun.org,email,2,Mailgun (transactional)
amazonses.com,email,2,AWS SES (transactional)
gmail.com,email,-3,Free Gmail (poor for business)
yahoo.com,email,-4,Yahoo (poor deliverability)
hotmail.com,email,-4,Hotmail (poor)
aol.com,email,-5,AOL (terrible)

# Security scoring
mimecast.com,security,4,Mimecast (security focus)
ppe-hosted.com,security,4,Proofpoint (security)
pphosted.com,security,4,Proofpoint (security)
barracuda.com,security,3,Barracuda (security)
barracudanetworks.com,security,3,Barracuda Networks
ess.barracudanetworks.com,security,3,Barracuda ESS
sophos.com,security,3,Sophos (security)
ironport.com,security,3,Cisco IronPort (security)
hornetsecurity.com,security,3,Hornetsecurity
protonmail.com,security,3,ProtonMail (encrypted)
protonmail.ch,security,3,ProtonMail (encrypted)
tutanota.com,security,3,Tutanota (encrypted)
