# DNS TXT Record Signatures
# Format: pattern,score_type,points,comment
# Score types: web, budget, security, email
# Load order: Most specific patterns first

# === ENTERPRISE SAAS (High Budget) ===

# Atlassian Suite ($10-100/user/mo)
-all,security,2,SPF hard fail (prevents spoofing)
~all,email,2,SPF soft fail (permissive)
?all,email,-2,SPF neutral (basically useless)
+all,email,-5,SPF allow all (DANGEROUS - spam setup)
+all,security,-3,SPF allow all (major security hole)

# Combined email security bonus (detected in scoring logic)
# DMARC p=reject + DKIM + SPF -all = +5 bonus in scorer
# This creates:
# - Elite setup: 5+10+8+3+5 = 31 email points → Capped at 10 = Enterprise
# - Good setup: 5+5+8+3+2 = 23 email points → Capped at 10 = Professional
# - Basic setup: 3+2 = 5 email points → Mid-tier
# - No auth: 0 points → Amateur

# Email providers in SPF (indicates enterprise email)
include:_spf.google.com,email,1,Google Workspace email
include:_spf.google.com,budget,2,Google Workspace (paid)
include:spf.protection.outlook.com,email,1,Microsoft 365 email
include:spf.protection.outlook.com,budget,2,M365 (paid)
include:amazonses.com,email,1,AWS SES
include:_spf.salesforce.com,email,1,Salesforce email
include:_spf.salesforce.com,budget,2,Salesforce (enterprise)
include:servers.mcsv.net,email,1,Mailchimp
include:spf.mandrillapp.com,email,1,Mandrill
include:_spf.protonmail.ch,email,1,ProtonMail
include:_spf.protonmail.ch,security,1,ProtonMail (encrypted)

# === VERIFICATION SERVICES ===

# Google services
google-site-verification,email,1,Google verified
google-site-verification=,email,1,Google verification
google-gws-recovery-domain-verification,email,1,Google recovery

# Microsoft services
MS=,email,2,Microsoft verified
ms-domain-verification,email,2,Microsoft domain
mscid,email,2,Microsoft CID

# Security/compliance
have-i-been-pwned-verification,security,3,HIBP monitoring
detectify-verification,security,4,Detectify scanner
bugcrowd-verification,security,4,Bug bounty program
hackerone-verification,security,4,HackerOne program
praetorian.com,security,4,Praetorian security
wiz-domain-verification,security,4,Wiz cloud security
sophos-domain-verification,security,3,Sophos security

# === CLOUD & INFRASTRUCTURE ===

# Cloud providers
amazon-business-verification,budget,3,Amazon Business
aws,budget,3,AWS
google-cloud,budget,3,Google Cloud
azure,budget,3,Microsoft Azure
oracle-cloud,budget,3,Oracle Cloud
ibmid,budget,3,IBM Cloud
hpe-greenlake-domain-verification,budget,3,HPE GreenLake
intersight,budget,3,Cisco Intersight
cloudhealth,budget,3,CloudHealth (VMware)

# CDN/Security
cloudflare-verify,web,2,Cloudflare verified
cloudflare,web,2,Cloudflare
fastly-domain-delegation,web,3,Fastly CDN
akamai-verification,web,4,Akamai (expensive)
imperva-verification,security,4,Imperva WAF

# === DEVELOPER TOOLS ===

# Version control
_github-challenge,security,2,GitHub verified
github,web,2,GitHub
gitlab,web,2,GitLab
bitbucket,web,2,Bitbucket

# Monitoring/Observability
datadog-verification,web,3,Datadog monitoring
datadog,web,3,Datadog
newrelic-verification,web,3,New Relic APM
pagerduty-verification,web,3,PagerDuty
statuspage-verification,web,2,Atlassian Statuspage
status-page-domain-verification,web,2,Status page
sentry,web,2,Sentry error tracking
dynatrace-site-verification,web,3,Dynatrace APM

# Container/Cloud native
docker-verification,web,3,Docker
kubernetes,web,4,Kubernetes
replit-verify,web,2,Replit

# API/Workflow
postman-domain-verification,web,3,Postman API
zapier-domain-verification-challenge,web,2,Zapier automation

# === PRODUCTIVITY & COLLABORATION ===

# File storage
dropbox-domain-verification,budget,2,Dropbox Business
box-domain-verification,budget,3,Box
google-apps-verification,budget,2,Google Workspace

# Document management
liveramp-site-verification,budget,3,LiveRamp
extensis-domain-verification,budget,3,Extensis
foxit-domain-verification,budget,3,Foxit PDF
bluebeam-verification,budget,3,Bluebeam
mindmanager-verification,budget,3,MindManager
nitro-verification-code,budget,3,Nitro PDF

# Workplace tools
slack,budget,4,Slack
workplace-domain-verification,budget,2,Workplace by Meta

# Automation/Integration
mongodb-site-verification,budget,3,MongoDB Atlas
rippling-domain-verification,budget,4,Rippling HR/IT

# === FINANCE & HR ===

# Finance/Accounting
intacct-esk,budget,4,Sage Intacct
successfactors-site-verification,budget,4,SAP SuccessFactors
d365mktkey,budget,4,Dynamics 365
workday,budget,5,Workday

# === SECURITY VENDORS ===

# Security platforms
paloaltonetworks-site-verification,security,4,Palo Alto Networks
cisco-ci-domain-verification,security,3,Cisco security
ciscocidomainverification,security,3,Cisco verification
knowbe4-site-verification,security,3,KnowBe4 security training
browserstack-domain-verification,web,2,BrowserStack testing
censys-domain-verification,security,3,Censys scanning
infoblox-domain-mastery,security,3,Infoblox DNS security
parkable-domain-verification,budget,2,Parkable parking

# === CHINESE/INTERNATIONAL SERVICES ===

# Chinese platforms
openai-domain-verification,budget,3,OpenAI Enterprise
verification-code-site-App_feishu,budget,2,Lark/Feishu
zalo-platform-site-verification,budget,1,Zalo Vietnam
elevenlabs,budget,3,ElevenLabs AI voice

# === CERTFICATE AUTHORITIES ===

# SSL/TLS verification
_acme-challenge,security,1,Let's Encrypt ACME
QuoVadis,security,2,QuoVadis CA
swisssign-check,security,2,SwissSign CA
actalis-dcv,security,2,Actalis CA
identrust_validate,security,2,IdenTrust CA
_telesec-domain-validation,security,2,Telesec validation
globalsign-domain-verification,security,2,GlobalSign
_globalsign-domain-verification,security,2,GlobalSign verified

# === WEB SERVICES ===

# Website builders
wix-verification,budget,-1,Wix website builder (cheap)
weebly-verification,budget,-1,Weebly (cheap)
wordpress-verification,budget,0,WordPress.com (free-$45)
squarespace-verification,budget,1,Squarespace ($16-49/mo)
webflow-verification,budget,2,Webflow ($14-39/mo)
webflow,web,2,Webflow
proxy-ssl.webflow.com,web,2,Webflow SSL

# Hosting verification
parallels-domain-verification,budget,1,Parallels hosting
hosted-email-verify,budget,0,Generic hosting

# === NEGATIVE SIGNALS (Parked/For-Sale) ===

# Domain parking
afternic,budget,-5,Domain parking
afternic-verification,budget,-5,Afternic parking
dan-ownership-verification,budget,-5,Domain for sale
sedo-verification,budget,-5,Sedo parking
parkingcrew,budget,-5,Parking service
bodis,budget,-5,Bodis parking
above-verification,budget,-4,Above.com parking
undeveloped,budget,-4,Undeveloped domain
rovag_verification_token,budget,-4,Rovag parking

# === MISCELLANEOUS ===

# VPN/Network
no-ip.com,budget,0,No-IP DDNS
onetrust-domain-verification,security,3,OneTrust privacy
iubenda,security,2,Iubenda privacy
osano,security,2,Osano privacy
cookiebot,security,2,Cookiebot

# Forms/Surveys
formstack-domain-verification,web,2,Formstack forms
loaderio,web,2,Loader.io testing

# Finance services
intacct-esk,budget,4,Sage Intacct ERP
access-domain-verification,budget,3,Microsoft Access

# Other
firebase,web,2,Firebase (Google)
firebase=,web,2,Firebase verification
astro-domain-verification,web,2,Astro framework
clickfunnels-domain-verification,budget,2,ClickFunnels
citrix-verification-code,budget,3,Citrix
autodesk-domain-verification,budget,4,Autodesk
hcp-domain-verification,budget,3,HashiCorp Cloud
twilio-domain-verification,budget,3,Twilio
replit-verify,web,2,Replit

# Random verification tokens (low value)
hosting-site=,budget,0,Generic hosting
bw=,budget,0,Generic verification
asv=,budget,0,Generic ASV
msfpkey,security,1,Microsoft fingerprint
mgverify,email,1,Mail gateway verify
h1-domain-verification,security,3,HackerOne
hj-ownership,web,2,Hotjar ownership
hibp-verify,security,3,HIBP verify
hes=,budget,0,Generic HES
DomainVerification,budget,0,Generic domain verification

# === LEGACY/OUTDATED ===

# Outdated services
yahoo-verification-key,budget,-1,Yahoo (outdated)
bing-site-verification,web,0,Bing verification
yandex-verification,web,0,Yandex verification
