bucket,domain,url,tranco_rank,predicted_model,model_confidence,predicted_industry,predicted_revenue,revenue_confidence,is_real_business,model_ok,true_model,industry_ok,true_industry,true_revenue,notes
bigco_ver_other,cyracom.com,https://cyracom.com,377653,Consulting,0.52,DevTools,$100M-$1B,0.84,y,n,SaaS,n,SaaS,$100M-$1B,"gv4 [VERIFIED revenue $100M-$1B (source wikidata)] | AI: Interpretation/translation SaaS platform (redirects to propio.com), acquired by Icertis"
bigco_ver_other,empiricus.com.br,https://empiricus.com.br,268143,Media,0.55,Media & Entertainment,$10M-$100M,0.99,y,y,,y,,,"gv4 [VERIFIED employees 51-500 (source wikidata)] | AI: Brazilian financial research and publishing platform. Media business with subscriptions, newsletters, trading tools. Verified 51-500 employees (Wikidata). Inferred revenue from employee count."
bigco_ver_other,kids-collective.co.uk,https://kids-collective.co.uk,\N,Community,0.68,,$1M-$10M,0.56,y,n,LocalBusiness,n,,,"gv4 [VERIFIED employees 51-500 (source companies_house)] | AI: Childcare provider (before/after school clubs, holiday programs); Ofsted accredited; 51-500 employees verified"
bigco_ver_other,kinari-kids.com,https://kinari-kids.com,\N,Media,0.58,,$1M-$10M,0.85,y,n,Nonprofit,n,,<$1M,"gv4 [VERIFIED revenue <$1M (source wikidata); VERIFIED employees 51-500 (source wikidata)] | AI: Japanese social welfare nonprofit for disabled children (daycare, medical care, helper services); struggles financially"
bigco_ver_other,kumtor.kg,https://kumtor.kg,1664683,Marketplace,0.81,Ecommerce & Retail,<$1M,0.53,y,n,Manufacturer,n,,$100M-$1B,gv4 [VERIFIED revenue $100M-$1B (source wikidata)] | AI: Kumtor Gold Company: gold mining operation in Kyrgyzstan; state-managed; $1.2B+ annual state contributions
bigco_ver_other,lakelandcc.edu,https://lakelandcc.edu,501497,Education,0.8,Education,$1M-$10M,0.67,y,y,,y,,,gv4 [VERIFIED employees 501-5000 (source wikidata)] | AI: Lakeland Community College: accredited Ohio institution; associate/bachelor programs; 501-5000 employees
bigco_ver_other,mueller.si,https://mueller.si,1672979,Directory,0.57,Ecommerce & Retail,$1M-$10M,0.6,y,n,Ecommerce,y,,$1B+,gv4 [VERIFIED revenue $1B+ (source wikidata); VERIFIED employees 5001+ (source wikidata)] | AI: Mueller drugstore chain in Slovenia with massive scale. Verified revenue $1B+ and employees 5001+ from Wikidata. Predicted Directory is wrong; this is Ecommerce retail chain.
bigco_ver_other,optim-industries.fr,https://optim-industries.fr,\N,Agency,0.57,AI & ML,<$1M,0.53,n,n,,,,,gv4 [VERIFIED employees 51-500 (source sirene)] | AI: Minimal header-only page with no business content. Appears to be incomplete/parked placeholder. Cannot verify as real business.
bigco_ver_other,porsolt.com,https://porsolt.com,\N,Agency,0.64,Healthcare,$100M-$1B,0.81,y,n,Consulting,,,,"gv4 [VERIFIED employees 51-500 (source sirene)] | AI: Contract Research Organization (preclinical drug testing), not agency; enterprise pharma/biotech services"
bigco_ver_other,savebuzzardsbay.org,https://savebuzzardsbay.org,1035264,Consulting,0.56,,$10M-$100M,0.77,y,n,Nonprofit,,,$10M-$100M,gv4 [VERIFIED revenue $10M-$100M (source wikidata)] | AI: Nonprofit environmental conservation organization; wikidata verified $10M-$100M revenue
bigco_ver_other,sleepinggiantmedia.co.uk,https://sleepinggiantmedia.co.uk,\N,Agency,0.61,,$1M-$10M,0.58,y,y,,n,Marketing,,"gv4 [VERIFIED employees 51-500 (source companies_house)] | AI: Digital marketing agency, 15+ years operating, B-Corp pursuit, 51-500 employees verified"
bigco_ver_other,sweco.dk,https://sweco.dk,1375750,Agency,0.44,,$100M-$1B,0.91,y,y,,y,,,"gv4 [VERIFIED employees 501-5000 (source wikidata)] | AI: Large European architecture/engineering consulting firm, Nasdaq-listed, 23,000 employees, €2.9B revenue"
bigco_ver_other,ucs.org,https://ucs.org,16673,Education,0.62,,$10M-$100M,0.65,y,n,Nonprofit,n,,$10M-$100M,"gv4 [VERIFIED revenue $10M-$100M (source wikidata)] | AI: Union of Concerned Scientists; 501(c)(3) nonprofit with 500,000+ members. Revenue $10M-$100M prefilled per verified_hint"
bigco_ver_other,uniroma2.it,https://uniroma2.it,18271,Education,0.58,Education,$100M-$1B,0.9,y,y,,y,,,gv4 [VERIFIED employees 501-5000 (source wikidata)] | AI: Italian university (Università degli Studi di Roma Tor Vergata) with 120+ undergraduate courses; 501-5000 employees verified
bigco_ver_other,warnerpacific.edu,https://warnerpacific.edu,565642,Education,0.82,Education,$10M-$100M,0.99,y,y,,y,,,"gv4 [VERIFIED employees 51-500 (source wikidata)] | AI: Warner Pacific University, Portland Oregon. Accredited Christian university with 60+ degree programs. 51-500 employees verified."
bigco_ver_other,ymcaoc.org,https://ymcaoc.org,1751536,Community,0.51,,$1M-$10M,0.99,y,y,,y,,$10M-$100M,"gv4 [VERIFIED revenue $10M-$100M (source wikidata)] | AI: YMCA of Orange County nonprofit. Health/wellness centers, youth programs, community services. Serves 61,000+ annually. Verified revenue."
other_ver,3csolutions.fr,https://3csolutions.fr,\N,Consulting,0.73,DevTools,$1M-$10M,0.57,y,y,,y,,,"gv4 [VERIFIED employees 1-10 (source sirene)] | AI: French IT consulting & services firm (infrastructure, cloud, cybersecurity). Verified 1-10 employees."
other_ver,abilityresourcing.co.uk,https://abilityresourcing.co.uk,\N,Agency,0.66,HR & Recruiting,<$1M,0.58,y,y,,y,,,gv4 [VERIFIED employees 1-10 (source companies_house)] | AI: UK recruitment consultancy for tech sector (20+ years operating). Verified 1-10 employees.
other_ver,agastya.org,https://agastya.org,\N,Consulting,0.56,,<$1M,0.93,y,n,Nonprofit,,,,gv4 [VERIFIED employees 501-5000 (source wikidata)] | AI: Agastya International Foundation: Indian nonprofit for STEAM education. Verified 501-5000 employees = $10M-$100M+.
other_ver,ajfrancisflooring.co.uk,https://ajfrancisflooring.co.uk,\N,LocalBusiness,0.85,Healthcare,<$1M,0.77,y,y,,n,Home Services/Construction,,"gv4 [VERIFIED employees 1-10 (source companies_house)] | AI: UK flooring contractor (30+ years): vinyl, carpet, blinds. LocalBusiness fits. Industry should not be Healthcare."
other_ver,aquabat.fr,https://aquabat.fr,\N,Marketplace,0.4,,,\N,y,y,,n,Marketplace/Domain Services,,gv4 [VERIFIED employees 1-10 (source sirene)] | AI: Dovendi: domain name marketplace/broker (250k+ domain names managed). Verified 1-10 employees.
other_ver,babbmortgages.co.uk,https://babbmortgages.co.uk,\N,Consulting,0.62,Fintech,<$1M,0.87,y,y,,y,,,"gv4 [VERIFIED employees 1-10 (source companies_house)] | AI: Norwich mortgage brokerage: FCA-regulated, specializes in first-time buyers & remortgages. Verified 1-10 employees."
other_ver,bati-bessin.fr,https://bati-bessin.fr,\N,Consulting,0.58,Real Estate,<$1M,0.47,n,n,,n,,,gv4 [VERIFIED employees 1-10 (source sirene)] | AI: Domain parking page (Easy W3 placeholder: 'reserved for client'). No active business.
other_ver,bgoconsultants.com,https://bgoconsultants.com,\N,Consulting,0.57,Productivity,<$1M,0.71,,,,,,,gv4 [VERIFIED employees 1-10 (source sirene)] | AI: Could not fetch (certificate altnames mismatch). Cannot verify business legitimacy.
other_ver,breedonconsulting.co.uk,https://breedonconsulting.co.uk,\N,Consulting,0.56,HR & Recruiting,<$1M,0.68,y,y,,y,,,"gv4 [VERIFIED employees 1-10 (source companies_house)] | AI: Breedon Consulting: UK HR consulting & training for SMEs (Leicestershire-based, multi-office). Verified 1-10 employees."
other_ver,campustuition.co.uk,https://campustuition.co.uk,\N,Education,0.85,Education,<$1M,0.84,y,y,,y,,,"gv4 [VERIFIED employees 1-10 (source companies_house)] | AI: Campus Tuition: UK tutoring center (Rainham, Essex) with full-time teachers. Face-to-face & online education. Verified 1-10 employees."
other_ver,christianbassett.com,https://christianbassett.com,\N,Agency,0.62,Fashion,<$1M,0.6,y,y,,y,,,gv4 [VERIFIED employees 1-10 (source companies_house)] | AI: Luxury fashion recruitment and executive search firm
other_ver,cwgchoices.com,https://cwgchoices.com,\N,Tool,0.56,Fashion,$1M-$10M,0.62,y,n,Manufacturer,n,Manufacturer,,"gv4 [VERIFIED employees 1-10 (source companies_house)] | AI: UK window and door manufacturer since 1992, largest to trade"
other_ver,dalmenyhotel.co.uk,https://dalmenyhotel.co.uk,\N,Consulting,0.82,Travel,$10M-$100M,0.68,y,n,LocalBusiness,y,,,"gv4 [VERIFIED employees 1-10 (source companies_house)] | AI: Resort hotel in Lytham St. Annes with 110+ rooms, 80-year family business"
other_ver,equitusconsultancy.co.uk,https://equitusconsultancy.co.uk,\N,Consulting,0.6,Marketing,<$1M,0.88,n,n,,,,,gv4 [VERIFIED employees 1-10 (source companies_house)] | AI: Placeholder/incomplete website with only generic tagline. No substantive content about services. Appears to be non-operational or shell company despite Companies House registration (1-10 employees verified).
other_ver,etvoilaletravail.com,https://etvoilaletravail.com,\N,Agency,0.62,,<$1M,0.76,y,y,,y,,,"gv4 [VERIFIED employees 1-10 (source sirene)] | AI: Graphic design and communication agency in Northern France. Full-service creative shop (branding, web, print). Employees 1-10, small regional agency."
other_ver,extramorphose.com,https://extramorphose.com,\N,Tool,0.43,,$1M-$10M,0.69,y,n,Agency,n,Creative Services,,gv4 [VERIFIED employees 1-10 (source sirene)] | AI: Brand transformation consulting and creative agency (Julia Drupt). Predicted Tool but is project-based consulting/creative services. Employees 1-10.
other_ver,flexgrid.co.uk,https://flexgrid.co.uk,\N,Community,0.4,,$1M-$10M,0.5,y,n,SaaS,n,Telecom/Connectivity,,"gv4 [VERIFIED employees 11-50 (source companies_house)] | AI: UK connectivity aggregator platform serving businesses with Ethernet, fiber, cellular, SD-WAN solutions. Software-driven carrier aggregation. Employees 11-50. Predicted Community but is SaaS platform."
other_ver,florentb.com,https://florentb.com,\N,Agency,0.7,Media & Entertainment,<$1M,0.66,y,y,,y,,,"gv4 [VERIFIED employees 1-10 (source sirene)] | AI: Freelance creative agency (Florent Boutonnet) offering design, video, web development. Employees 1-10. 7+ years, 95% client retention. Located Valence, France."
other_ver,grainsdart.com,https://grainsdart.com,\N,Community,0.56,Home & Garden,<$1M,0.71,,,,,,,gv4 [VERIFIED employees 1-10 (source sirene)] | AI: Unable to fetch (network/security restriction). Predicted Community/Home & Garden. Employees 1-10 verified. Cannot evaluate business model.
other_ver,green-nature.co.uk,https://green-nature.co.uk,\N,Agency,0.66,Home & Garden,<$1M,0.75,,,,,,,gv4 [VERIFIED employees 1-10 (source companies_house)] | AI: Unable to fetch (network/security restriction). Predicted Agency/Home & Garden. Employees 1-10 verified. Cannot evaluate.
other_ver,greigcooke.com,https://greigcooke.com,\N,Agency,0.59,Productivity,$1M-$10M,0.69,y,y,,y,,,"gv4 [VERIFIED employees 1-10 (source companies_house)] | AI: Freelance WordPress developer and digital consultant. 20+ years experience. Portfolio includes agencies, creatives, SMEs. Employees 1-10. Consulting model."
other_ver,gurkhasecurity.co.uk,https://gurkhasecurity.co.uk,\N,Consulting,0.56,,<$1M,0.85,y,y,,,,,"gv4 [VERIFIED employees 1-10 (source companies_house)] | AI: Professional security firm (ex-military) offering static guarding, mobile patrols, event security, close protection, consultancy. London-based. Employees 1-10. Model: Consulting/Staffing."
other_ver,haraldsplass.no,https://haraldsplass.no,\N,Consulting,0.73,Healthcare,$100M-$1B,0.54,y,n,FinancialInstitution,n,Healthcare,,"gv4 [VERIFIED employees 501-5000 (source wikidata)] | AI: Private hospital in Bergen, Norway (Haraldsplass Diakonale Sykehus AS). Healthcare provider. Employees 501-5000. Inferred revenue from hospital scale. Predicted Consulting but is healthcare institution."
other_ver,humanrights.dk,https://humanrights.dk,170907,Agency,0.62,DevTools,$10M-$100M,0.78,y,n,Nonprofit,n,Advocacy,,"gv4 [VERIFIED employees 51-500 (source wikidata)] | AI: Danish Institute for Human Rights: independent national human rights organization. Research, advocacy, counseling on discrimination. Not a commercial agency. Employees 51-500. Predicted Agency but is nonprofit."
other_ver,iiatroie.fr,https://iiatroie.fr,\N,Consulting,0.43,,<$1M,0.69,y,n,SaaS,n,,,gv4 [VERIFIED employees 1-10 (source sirene)] | AI: Coraxis: web hosting provider in Alsace; predicted Consulting but is platform/SaaS; 1-10 employees
other_ver,jacksonwoodworks.co.uk,https://jacksonwoodworks.co.uk,\N,Consulting,0.6,Home & Garden,<$1M,0.87,y,n,LocalBusiness,n,,,"gv4 [VERIFIED employees 1-10 (source companies_house)] | AI: Bespoke handcrafted furniture (wardrobes, kitchens) in Yorkshire; service-based manufacturing; 1-10 employees"
other_ver,jafbuilders.co.uk,https://jafbuilders.co.uk,\N,LocalBusiness,0.55,,<$1M,0.64,y,y,,,,,"gv4 [VERIFIED employees 1-10 (source companies_house)] | AI: Construction company (builds, extensions, renovations); 18 years established; Wakefield, UK; 1-10 employees"
other_ver,lesposeurspartenaires.fr,https://lesposeurspartenaires.fr,\N,Consulting,0.56,,<$1M,0.73,y,n,LocalBusiness,n,,,"gv4 [VERIFIED employees 1-10 (source sirene)] | AI: French installation/repair service (windows, doors, shutters); 20+ years; 150+ jobs; 1-10 employees"
other_ver,linkmobility.com,https://linkmobility.com,390080,Consulting,0.61,DevTools,$10M-$100M,0.98,y,n,SaaS,y,,,"gv4 [VERIFIED employees 51-500 (source wikidata)] | AI: CPaaS platform (SMS, WhatsApp, RCS, email); 29 countries, 50k+ customers; 51-500 employees verified"
other_ver,littowarchitectes.com,https://littowarchitectes.com,\N,Agency,0.66,Home & Garden,,\N,y,y,,,,,"gv4 [VERIFIED employees 1-10 (source sirene)] | AI: Architectural firm (France); residential, office, renovation, public projects; 1-10 employees"
other_ver,midwestclinic.org,https://midwestclinic.org,1781912,Education,0.42,DevTools,<$1M,0.55,y,n,Education,n,Education & Professional Development,$1M-$10M,"gv4 [VERIFIED revenue $1M-$10M (source wikidata)] | AI: International music education conference in Chicago, 18k+ annual attendees. Predicted Education is correct but predicted DevTools industry is wrong. Verified revenue $1M-$10M from Wikidata."
other_ver,mkmobiles.co.uk,https://mkmobiles.co.uk,\N,Consulting,0.56,,<$1M,0.58,y,n,SaaS,n,Telecommunications,,"gv4 [VERIFIED employees 1-10 (source companies_house)] | AI: B2B telecom services provider (30+ years), reselling Vodafone/O2/EE/BT/Three/Gamma. 1-10 employees per Companies House. Predicted Consulting is wrong; this is SaaS/service business."
other_ver,mobil-art.fr,https://mobil-art.fr,\N,Agency,0.63,DevTools,<$1M,0.78,n,n,,,,,gv4 [VERIFIED employees 1-10 (source sirene)] | AI: Domain returns 404 error; website not accessible or does not exist. Cannot verify business legitimacy.
other_ver,mtstudios.net,https://mtstudios.net,\N,Agency,0.77,Marketing,$1M-$10M,0.77,y,y,,n,Web & Digital Design,,"gv4 [VERIFIED employees 1-10 (source companies_house)] | AI: Web design/development agency founded 2004, based in Sandwich Kent. 1-10 employees per Companies House. Agency prediction is correct; industry should be Web/Digital, not Marketing."
other_ver,norwegiankindergarten.org.uk,https://norwegiankindergarten.org.uk,\N,Consulting,0.56,HR & Recruiting,<$1M,0.83,y,n,Education,n,Early Childhood Education,<$1M,gv4 [VERIFIED revenue <$1M (source wikidata)] | AI: Bilingual English-Norwegian kindergarten in Wimbledon with Ofsted registration. Predicted Consulting wrong; this is Education. Verified <$1M revenue from Wikidata.
other_ver,nostraconsulting.co.uk,https://nostraconsulting.co.uk,\N,Agency,0.62,,,\N,y,n,Consulting,n,Digital & Tech Consulting,,"gv4 [VERIFIED employees 1-10 (source companies_house)] | AI: Digital consulting firm founded 2007, works with enterprise clients (O2, Audi, Samsung, Heathrow). 1-10 employees per Companies House. Predicted Agency should be Consulting."
other_ver,oak.edu,https://oak.edu,846586,Education,0.78,Education,$1M-$10M,0.81,y,y,,y,,,"gv4 [VERIFIED employees 51-500 (source wikidata)] | AI: Oak Ridge Associated Universities, established research/education organization. Verified 51-500 employees from Wikidata. Education model and industry correct."
other_ver,oakton.edu,https://oakton.edu,125081,Education,0.82,Education,$10M-$100M,0.95,y,y,,y,,,"gv4 [VERIFIED employees 501-5000 (source wikidata)] | AI: Oakton Community College, established higher education institution. Verified 501-5000 employees from Wikidata. Education model and industry correct."
other_ver,ocellia.fr,https://ocellia.fr,\N,Education,0.76,Education,$1M-$10M,0.42,y,y,,y,,,gv4 [VERIFIED employees 51-500 (source sirene)] | AI: Educational institution in Lyon offering health/social professions training through master's level. Verified 51-500 employees from Sirene. Education model correct.
other_ver,operationeyesight.com,https://operationeyesight.com,3559167,Agency,0.62,,$100M-$1B,0.85,y,n,Nonprofit,n,Global Health & Development,$1M-$10M,"gv4 [VERIFIED revenue $1M-$10M (source wikidata); VERIFIED employees 11-50 (source wikidata)] | AI: Canadian nonprofit (60+ years) preventing blindness globally, 10+ countries. Verified $1M-$10M revenue from Wikidata. Predicted Agency wrong; this is Nonprofit."
other_ver,operations.fr,https://operations.fr,\N,Directory,0.69,Ecommerce & Retail,$100M-$1B,0.55,n,n,,,,,gv4 [VERIFIED employees 1-10 (source sirene)] | AI: Parked domain for sale ('Ce site web est à vendre'). Not an operating business. Generic placeholder page only.
other_ver,party-octopus.co.uk,https://party-octopus.co.uk,\N,Agency,0.41,,<$1M,0.86,y,y,,,,,gv4 [VERIFIED employees 1-10 (source companies_house)] | AI: 360 photo booth rental agency for events
other_ver,pjallenbuilders.co.uk,https://pjallenbuilders.co.uk,\N,Agency,0.55,Home & Garden,,\N,y,n,LocalBusiness,,,,"gv4 [VERIFIED employees 1-10 (source companies_house)] | AI: Construction builder (renovations, new builds, extensions), not agency; family business third generation"
other_ver,qualitybrands.co.uk,https://qualitybrands.co.uk,\N,Agency,0.97,Marketing,,\N,y,y,,y,,,"gv4 [VERIFIED employees 1-10 (source companies_house)] | AI: Agency: sales & marketing brokerage for food sector (established 1998, Worcestershire)"
other_ver,quechuadigital.co.uk,https://quechuadigital.co.uk,\N,Agency,0.88,Marketing,$1M-$10M,0.72,y,y,,y,,,"gv4 [VERIFIED employees 1-10 (source companies_house)] | AI: Digital marketing agency (PPC, SEO, social ads, web design, CRO)"
other_ver,rc-projects.co.uk,https://rc-projects.co.uk,\N,Agency,0.76,Ecommerce & Retail,<$1M,0.62,y,y,,,,,gv4 [VERIFIED employees 1-10 (source companies_house)] | AI: Agency (predicted Ecommerce & Retail); limited info on site but 1-10 employees verified
other_ver,readyeducation.com,https://readyeducation.com,742690,Education,0.76,Education,$1M-$10M,0.73,y,n,SaaS,n,EdTech,,"gv4 [VERIFIED employees 51-500 (source yc)] | AI: SaaS not traditional education: CampusGroups student engagement platform (7M+ student users, YC-backed)"
other_ver,sandstoneproductions.co.uk,https://sandstoneproductions.co.uk,\N,Consulting,0.56,,<$1M,0.84,y,n,Agency,,,,"gv4 [VERIFIED employees 1-10 (source companies_house)] | AI: Entertainment event rental (iconic movie/TV vehicles), not consulting; weddings/corporate events/exhibitions"
other_ver,setthescenemedia.co.uk,https://setthescenemedia.co.uk,\N,Education,0.77,Media & Entertainment,$1M-$10M,0.7,y,n,Media,n,Media & Entertainment,,"gv4 [VERIFIED employees 1-10 (source companies_house)] | AI: Media production: education video specialists (80+ school clients, 15 years); not traditional education"
other_ver,sure-guard.fr,https://sure-guard.fr,\N,Consulting,0.56,,<$1M,0.71,y,n,LocalBusiness,n,Professional Services,,"gv4 [VERIFIED employees 11-50 (source sirene)] | AI: French 24/7 security services firm with SIREN registration and CNAPS authorization, 11-50 employees verified"
other_ver,technosysconsulting.co.uk,https://technosysconsulting.co.uk,\N,Agency,0.62,Productivity,<$1M,0.71,y,y,,n,Consulting,,"gv4 [VERIFIED employees 1-10 (source companies_house)] | AI: UK IT consulting and staffing firm; predicted Agency is reasonable, 1-10 employees verified"
other_ver,tiktakchildcare.org.uk,https://tiktakchildcare.org.uk,\N,Education,0.62,Food & Beverage,<$1M,0.84,y,y,,n,Education,,"gv4 [VERIFIED employees 11-50 (source companies_house)] | AI: Ofsted-rated childcare facility in Milton Keynes; predicted Education is correct, but industry should be Education not Food & Beverage"
other_ver,treehouseyouth.org,https://treehouseyouth.org,\N,Community,0.51,,<$1M,0.84,n,n,,,,$1M-$10M,"gv4 [VERIFIED revenue $1M-$10M (source wikidata)] | AI: Placeholder/under-construction page stating 'A better version of our site is on going'. However, revenue $1M-$10M is prefilled per verified_hint"
other_ver,urbanandruralplants.co.uk,https://urbanandruralplants.co.uk,\N,Consulting,0.56,Home & Garden,<$1M,0.87,y,n,LocalBusiness,y,,,"gv4 [VERIFIED employees 11-50 (source companies_house)] | AI: UK plant nursery with two retail locations; predicted Consulting is incorrect, is retail/LocalBusiness"
other_ver,yourit.fr,https://yourit.fr,\N,Marketplace,0.46,,<$1M,0.78,n,n,,n,,,gv4 [VERIFIED employees 1-10 (source sirene)] | AI: French domain listed for sale on nicsell.com. Not an operating business or marketplace.
saas_plain,adeexpertise.com,https://adeexpertise.com,\N,SaaS,0.46,DevTools,,\N,n,n,,n,,,gv4 | AI: Domain registration/parking page via LWS registrar. No actual business operating.
saas_plain,akunmenutogel.click,https://akunmenutogel.click,1728770,SaaS,0.46,Ecommerce & Retail,<$1M,0.84,n,n,,n,,,"gv4 | AI: Spam/PBN: gambling redirect scheme masquerading as e-commerce, fabricated reviews with future dates (2026), links to gambling affiliate sites."
saas_plain,al-jazira.net,https://al-jazira.net,\N,SaaS,0.56,,,\N,n,n,,n,,,gv4 | AI: Domain suspension/parking page via DomaiNesia hosting provider. No active business.
saas_plain,breakpointinsights.com,https://breakpointinsights.com,\N,SaaS,0.6,,<$1M,0.67,y,y,,y,,,gv4 | AI: Beakpoint: SaaS for cloud cost intelligence/allocation (redirects to beakpoint.io). AI-powered cost visibility platform.
saas_plain,cabinetzen.fr,https://cabinetzen.fr,\N,SaaS,0.7,,<$1M,0.66,y,y,,n,SaaS/Healthcare,,"gv4 | AI: CabinetZen: French SaaS for health practitioners (therapists, coaches, osteopaths). Appointment/payment management, RGPD-compliant."
saas_plain,creativecloudpro.com,https://creativecloudpro.com,\N,SaaS,0.45,,<$1M,0.85,n,n,,n,,,"gv4 | AI: Parked domain with Coming Soon template, not operational"
saas_plain,glory-gate.com,https://glory-gate.com,\N,SaaS,0.56,,<$1M,0.85,,,,,,,gv4 | AI: Unable to fetch (network/security restriction). Predicted SaaS. No verified hint. Cannot evaluate.
saas_plain,golabs.vn,https://golabs.vn,3266113,SaaS,0.59,Logistics,<$1M,0.58,,,,,,,gv4 | AI: Unable to fetch (network/security restriction). Predicted SaaS/Logistics. No verified hint. Cannot evaluate.
saas_plain,idatabank.com,https://idatabank.com,3987612,SaaS,0.61,Marketing,<$1M,0.5,y,n,Consulting,n,IT Services,,"gv4 | AI: B2B IT services and consulting firm (20+ years, 5000+ projects, 300+ clients). Cloud, AI, consulting, medical IT, managed services. Predicted SaaS but is professional services consulting firm."
saas_plain,iwatchmax.co,https://iwatchmax.co,\N,SaaS,0.52,Ecommerce & Retail,,\N,y,y,,n,Software,,gv4 | AI: AI-based EPG (electronic program guide) solution; subscription SaaS; minimal market presence
saas_plain,jddeitch.com,https://jddeitch.com,\N,SaaS,0.64,,<$1M,0.67,y,n,Consulting,n,,,"gv4 | AI: Executive consulting to B2B SaaS companies (growth, operations, M&A); Paris-based consultant"
